Timestamp,Communities you identify with,How often do you use OpenRefine,For how long have you been using OpenRefine,How would you rate your skills using OpenRefine,High-level tasks you do with OpenRefine,Which version of OpenRefine do you run?,Do you use plugin or extension?,"Which features available in an extension or plugin, do you want to see by default in OpenRefine?",Do you use a reconciliation service?,Which features make you choose Refine as opposed to another tools? ,What tool would you have used instead,How do you describe Refine to someone else?,"Fill in the blank: ""It would be awesome if OpenRefine ...""",Anything else to add?
1/23/2020 15:47:07,Data journalist,A few times a month,More than 2 years,3,"Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....)",OpenRefine 3.3RC1,I don't use plugin or extension,,,Faceting and clustering is a vital step in my data cleaning process,¯\_(ツ)_/¯,a data cleaning tool,had ways of making GREL more accessible to newcomers,
1/23/2020 15:47:29,Librarian,Once or twice a week,1 to 2 years,3,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Reconciliation against other data set, Taxonomy/Metadata",OpenRefine 3.3RC1,,,"Wikidata, lobid.org/GND",,,,,
1/23/2020 15:48:35,Librarian,,1 to 2 years,1,Reconciliation against other data set,OpenRefine 3.2,"Named-Entity Recognition - by Ruben Verborgh (Free Your Metadata), RDF extension - by DERI, I think both plugins I use are now maintained by Stuart Kenny, after being dropped by their original maintaineres",,"local SPARQL endpoint with the RDF extension, Wikidata, DBpedia",,,,,
1/23/2020 15:49:41,Librarian,Once or twice a week,More than 2 years,5,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Reconciliation against other data set, Taxonomy/Metadata, Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",OpenRefine 3.2,I don't use plugin or extension,,,Combination of ease-of-use and powerful features when compared to other tools.,"R, RStudio",,,
1/23/2020 15:50:11,Data Scientist,Once or twice a week,1 to 2 years,4,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Reconciliation against other data set, Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",OpenRefine 3.2,I don't use plugin or extension,I can't name one.,Wikidata,"The ability to use facet to clean datasets, and also de REGEX expressions with GREL",Python scripts,A powerful tool to complex datasets,didn't need to much RAM for a optimal use,
1/23/2020 15:52:03,For Profit/Business/Consulting,Less than once a month,More than 2 years,2,"Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Reconciliation against other data set",OpenRefine 2.8,"DBpedia extension - by Zemanta, Named-Entity Recognition - by Ruben Verborgh (Free Your Metadata), GeoRefine by Ryan Baumann",,"VIAF, Library of Congress Subject Headings",Bulk editing feature to clean up data; reconciliation options. ,Excel,Data cleaning power tool ,Conducted more workshops online around reconciliation and data cleaning. I get rusty on skills not using it for awhile!,
1/23/2020 16:05:01,Wikidata contributor,A few times a month,Less than 6 months,2,"Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Reconciliation against other data set",OpenRefine 3.2,RDF extension - by DERI,Maybe RDF and CKAN,Wikidata,,,A tool to clean and prepare your datasets to be processed by a third tool or system.,Could have more contextual help.,Thanks for your work. The tool is amazing.
1/23/2020 16:06:31,Wikidata contributor,A few times a month,6 to 12 months,2,"Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Reconciliation against other data set",OpenRefine 3.2,I don't use plugin or extension,,Wikidata,Le fait que plusieurs personnes de ma communauté professionnelle (archivistes) l'utilisent en vantent les mérites,"Microsoft Excel, LibreOffice Calc",outil de transformation en masse de données,pouvait générer des tables en wikicode par défaut,Merci pour votre travail et vivement la suite!
1/23/2020 16:12:15,Cultural Heritage Data enthusiast,Less than once a month,1 to 2 years,3,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Taxonomy/Metadata",OpenRefine 3.2,I don't use plugin or extension,,"Wikidata, VIAF",Easier than excel,Excel,Easy to use cleaning your data,Have a GREL-formula builder,
1/23/2020 16:18:27,Wikidata contributor,A few times a month,1 to 2 years,3,"Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Reconciliation against other data set",OpenRefine 3.2,,,Wikidata,,,,,
