Horodateur,Communities you identify with,How often do you use Refine,If other please specify,What domain of data do you deal with?,If other please specify,High-level tasks you do with Refine,If other please specify,How large are the data sets you often deal with when creating your project,What formats of data you deal with when EXPORTING your data from Refine,If other please specify,What formats of data you deal with when IMPORTING data into Refine,If other please specify,If other please specify,What other tools you use on the data BEFORE you use Refine,If other please specify,What other tools you use on the data AFTER you use Refine,If other please specify,How will you rate the skills level needed to use Google Refine,How will you rate your skills using Google Refine,Will you be interested in helping grow the Refine community?,How can you help,If other please specify,Which features make you choose Refine as opposed to another tools? ,What tool would you have used instead,Do you use the executable version of Refine or do you build and run against the development version ?,How do you describe Refine to someone else?,"Fill in the blank: ""It'd be awesome if Refine ...""","If yes, can you describe how you use Refine as collaboration tool",How are your programming (coding) skills?,Anything else to add?,Which version of Refine are you currently using?,For how long have you been using refine,Do you ever collaborate with other people on the same Refine project?,"If yes, can you describe how you use Refine as collaboration tool","If you you build and run against the development version, did you include custom code ? ","If yes, what kind of custom code?",Do you use extension along Google Refine?,"If yes, what kind of custom code?",If other please specify
05/10/2012 03:45:07,"Data journalists, For Profit",Everyday,,Business,,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase, Reconciliation against other data set",,"A few hundred rows,1,000s of rows
10,000s of rows,
100,000s of rows, 1,000,000s of rows",XLS/CSV/TSV/Tabular in nature,,"XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,,"Spreadsheet, Export from a database",,"Spreadsheet, Load into database, Visualization, e.g., Fusion Table, Tableau",,2,5,Count me in!,"Documentation (wiki, tutorials ...), User support (FAQ), Other",Community Management,Visual interface of the data. Easy to understand,"spreadsheet, SQL",Executable version (I've downloaded Refine and use it as is),Power of SQL for computation with a nice graphical interface. ,it keep growing!,,2,,02/05/2012,1 to 2 years,yes,"Export JSON and save it as text file to share with other, or reuse across project",no,,No extension,,
05/10/2012 03:58:36,"Open data enthusiasts, Research Purpose",A few times a month,,"Business, Scientific",,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase, Taxonomy/Metadata",,"1,000s of rows, 10,000s of rows","XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,"XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature, Specialized formats, e.g., MARC",,,"Spreadsheet, Export from a database",,"Scripting, Spreadsheet, Load into database, Visualization, e.g., Fusion Table, Tableau",,3,2,Maybe,"Documentation (wiki, tutorials ...), User support (FAQ)",,,,Executable version (I've downloaded Refine and use it as is),,had a lot of money spent on it,,2,,02/05/2012,1 to 2 years,no,,no,,No extension,,
05/10/2012 04:34:00,"Open data enthusiasts, Research Purpose",Everyday,,"Business, Scientific",,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase, Reconciliation against other data set, Taxonomy/Metadata, Other",everything. I even add a touch to my morning coffee.,"A few hundred rows, 1,000s of rows, 10,000s of rows, 100,000s of rows, 1,000,000s of rows","XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature, Specialized formats, e.g., MARC",,"XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature, Specialized formats, e.g., MARC",,,"Scripting, Spreadsheet, Export from a database, ETL tools like Kettle, Pentaho, ...",,"Scripting, Spreadsheet, Load into database, Visualization, e.g., Fusion Table, Tableau",,1,5,Count me in!,"Development, Documentation (wiki, tutorials ...), User support (FAQ)",,Easy Custom Faceting,Excel,Against the development version,Your using Excel ?!? wait...let me show you something even better for your cleanup work...,worked again for uploading to Freebase.,,5,maybe we should include an Easter Egg inside Refine somewhere ? Just for the memories ? :) ,"Development, from svn",More than 2 years,yes,"disambiguation of music, art, & book data.",yes,a few custom transforms that I routinely use in daily work. macro like.,Other,,Freebase
05/10/2012 04:40:36,Open data enthusiasts,A few times a month,,Business,,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase, Reconciliation against other data set",,"10,000s of rows",XLS/CSV/TSV/Tabular in nature,,XLS/CSV/TSV/Tabular in nature,,,"Scripting, Spreadsheet, Export from a database",,"Scripting, Spreadsheet, Load into database, Visualization, e.g., Fusion Table, Tableau",,2,3,Count me in!,Development,,,,Executable version (I've downloaded Refine and use it as is),Best and simplest tool for manipolate large dataset.,,,6,,02/05/2012,More than 2 years,no,,no,,Python Client Library,,
05/10/2012 06:15:41,"Open data enthusiasts, Research Purpose, For Profit",A few times a month,,Other,"Lexical resources and knowledge bases in the Entertainment, News, Finance and Sport domains.","Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase, Reconciliation against other data set, Taxonomy/Metadata",,"A few hundred rows, 1,000s of rows, 10,000s of rows","XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature, Specialized formats, e.g., MARC",,"XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature, Specialized formats, e.g., MARC",,,"Scripting, Export from a database, ETL tools like Kettle, Pentaho, ..., Other",Data processing systems on hadoop.,"Scripting, Load into database, Visualization, e.g., Fusion Table, Tableau, Other",Data systems on Hadoop,3,5,Count me in!,"Development, Documentation (wiki, tutorials ...), User support (FAQ)",,"Designed for data/knowledge engineers: the right design, useful built-in functions, and possibility to extend.",DB + ETL + scripts,Against the development version,"A tool for investigating and transforming data, interactively.","""Could generate executable code that could be used to transform data directly.""

More precisely:
- we could design transforms interactively with Refine on data samples, 
- and then generate a standalone executable (a jar file for example) that could be executed standalone, on a single machine or on Hadoop, on the whole dataset... automatically...",,6,,"Development, from svn",More than 2 years,no,,yes,"Specific user defined functions for interacting with our data platforms, other data services, or common transformations.",RDF extension,,
05/10/2012 06:52:04,"Open data enthusiasts, Research Purpose, Other",A few times a month,Learning Analytics,Other,Education,"Data transformation (one format to another), Preparing data to load into some database, e.g., Freebase, Other",Preparing data for other tools,"10,000s of rows",XLS/CSV/TSV/Tabular in nature,,"XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,,"Scripting, Spreadsheet, Export from a database",,"Spreadsheet, Visualization, e.g., Fusion Table, Tableau",,3,4,Maybe,"Documentation (wiki, tutorials ...)",,Volume of data and ability to clean and compile with other datasets (mainly using add column by fetching url),Google Spreadsheets,Executable version (I've downloaded Refine and use it as is),,,,4,,02/05/2012,1 to 2 years,no,,,,No extension,,
05/10/2012 07:50:39,"Open data enthusiasts, Research Purpose, For Profit",A few times a month,,"Business, Programming",,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase, Reconciliation against other data set",,"A few hundred rows, 1,000s of rows, 10,000s of rows, 100,000s of rows","XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,"XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,,"Scripting, Spreadsheet, Export from a database",,"Scripting, Spreadsheet, Load into database, Visualization, e.g., Fusion Table, Tableau",,2,4,Count me in!,"Development, Documentation (wiki, tutorials ...), User support (FAQ)",I actually already to all these :),"Fast, faceting, open source, useful mailing list",Excel,Executable version (I've downloaded Refine and use it as is),Tool to explore & clean up data,"Could handle more rows
Interfaced to a database
Made reconciliation easier",,7,"Dev versions & exe v dev should be checkbox options, not radios.",02/05/2012,More than 2 years,yes,"I set up a central Linux office server running refine and had the local clients use that. It was good for storing data but not really operating on it - better to use local RAM. But, it did enable us to share projects.",,,Python Client Library,,
05/10/2012 08:50:24,"Open data enthusiasts, Research Purpose, Cultural Heritage Data Enthusiast",Once or twice a week,,Other,"Mainly heritage, but also run a tour guiding operation that uses Refine to access EventbriTe Apis","Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase, Reconciliation against other data set",,"A few hundred rows, 1,000s of rows, 10,000s of rows",XLS/CSV/TSV/Tabular in nature,,"XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,,Spreadsheet,,"Spreadsheet, Load into database, Visualization, e.g., Fusion Table, Tableau",,4,2,Maybe,Other,"Not sure. I don't have much time, and I am not a coder or document or. I am happy to champion Refine though.",Ability to handle data from Apis and then call more Apis. Completely magic and enables me to do something that would otherwise require coding beyond my abilities.,I have tried using google spreadsheets but just to restricted and doesn't scale well,Executable version (I've downloaded Refine and use it as is),"Magical, but a bit geeky","Could be easily made part of workflow, and ideally be integrated together with fusion capabilities as I currently move data back and forwards in a rather inefficient way to join or concatenate data.",,2,"Team who developed the product is amazing,",02/05/2012,1 to 2 years,no,,,,No extension,,
05/10/2012 10:17:20,Data journalists,Everyday,,Business,,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase",,"100,000s of rows",XLS/CSV/TSV/Tabular in nature,,XLS/CSV/TSV/Tabular in nature,,,"Scripting, Spreadsheet",,"Spreadsheet, Visualization, e.g., Fusion Table, Tableau",,2,2,Maybe,"Development, Documentation (wiki, tutorials ...)",,,,Executable version (I've downloaded Refine and use it as is),,,,5,,02/05/2012,Less than 6 months,no,,,,No extension,,
05/10/2012 10:33:00,"Research Purpose, Cultural Heritage Data Enthusiast, Other",Once or twice a week,Librarians work,"Scientific, Other",Bibliographic data,"Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase, Taxonomy/Metadata",,"1,000s of rows",XLS/CSV/TSV/Tabular in nature,,"XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,,Export from a database,,Load into database,,3,2,Maybe,Other,translate into spanish and galician,"easy of use
options to manipulate/transform data",spreadsheet,Executable version (I've downloaded Refine and use it as is),A wonderful tool :-),Could reconcile against another dataset in Refine,,2,"Thanks a lot! 
Refine is very important for me at work ",02/05/2012,1 to 2 years,no,,,,,,
