Horodateur,Communities you identify with,How often do you use OpenRefine,If other please specify,What domain of data do you deal with?,If other please specify,High-level tasks you do with OpenRefine,If other please specify,What is the average size of your dataset when creating your project,What formats of data you deal with when EXPORTING your data from Refine,If other please specify,What formats of data you deal with when IMPORTING data into Refine,If other please specify,If other please specify,What other tools you use on the data BEFORE you use Refine,If other please specify,What other tools you use on the data AFTER you use Refine,If other please specify,How will you rate the skills level needed to use Google Refine,How will you rate your skills using OpenRefine,Will you be interested in helping grow the Refine community?,How can you help,If other please specify,Which features make you choose Refine as opposed to another tools? ,What tool would you have used instead,Do you use the executable version of Refine or do you build and run against the development version ?,How do you describe Refine to someone else?,"Fill in the blank: ""It'd be awesome if Refine ...""","If yes, can you describe how you use Refine as collaboration tool",How are your programming (coding) skills?,Anything else to add?,Which version of OpenRefine are you currently using?,For how long have you been using OpenRefine,Do you ever collaborate with other people on the same Refine project?,"If yes, can you describe how you use Refine as collaboration tool","If you you build and run against the development version, did you include custom code ? ","If yes, what kind of custom code?",Do you use extension along Google Refine?,"If yes, what kind of custom code?",If other please specify,Which channel do you use when you need support?,How would you rate the quality of support from those channel [OpenRefine mailing list],"How would you rate the quality of support from those channel [Other online community (stackoverflow, discussion board ....)]",How would you rate the quality of support from those channel [I ask someone I know (friends or coworker)],How would you rate the quality of support from those channel [I attend formal training],How would you rate the quality of support from those channel [I learn by myself],How responsive each channel is when you seek support [OpenRefine mailing list],"How responsive each channel is when you seek support [Other online community (stackoverflow, discussion board ....)]",How responsive each channel is when you seek support [I ask someone I know (friends or coworker)],How responsive each channel is when you seek support [I attend formal training],How responsive each channel is when you seek support [I learn by myself],Do you use plugin or extension?,Which version of OpenRefine do you run?,What is your experience with bug fix and feature request [bug fix (ie OpenRefine is broken)],What is your experience with bug fix and feature request [feature request (ie add a new functionality / behaviour)],Can you provide more when you reported something or asked for support and things didn't move as whished?,Would you be interested in an hosted/cloud version of OpenRefine,Why?
18/07/2014 16:28:53,Open Data / Governmententhusiasts,Once or twice a week,,,,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....)",,,,,,,,,,,,,3,,,,It's fast and doesn't mess with my data (e.g. encoding). I like that it's open source too.,Open Office or Excel (only in a pinch),,"""A powertool for working with messy data!""",,,,Thanks to the community for all the work that has gone into Open Refine! I hope to someday have the coding skills to contribute to the project,,1 to 2 years,,,,,,,,,Not using this channel,The answer was a lead and I needed to explore based on it,Not using this channel,Not using this channel,I got an answer and it is working,Not using this channel,Immediate answer,Not using this channel,Not using this channel,I have to wait to get my answer,I don't use plugin or extension,Google Refine 2.5,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",I have neither reported nor asked for anything. My use of Refine is fairly basic at this point and I am very happy with it. Thanks for providing this free tool!,yes,"I would love to be able to work on projects at work and at home without having to transfer files. For arduous government security reasons that have nothing to do with my work, I can't currently do data work from home."
18/07/2014 16:33:59,Data journalists,A few times a month,,,,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes)",,,,,,,,,,,,,3,,,,"scraping, clustering, regular expression support, data cleaning",probably some combination of Excel and Python,,a data cleaning and standardizing tool ,,,,,,More than 2 years,,,,,,,,,The answer was a lead and I needed to explore based on it,The answer was a lead and I needed to explore based on it,Not using this channel,Not using this channel,I got an answer and it is working,I found a solution before my request been answered,I found a solution before my request been answered,Not using this channel,Not using this channel,I found a solution before my request been answered,Named-Entity Recognition - by Ruben Verborgh (Free Your Metadata),I don't know,"I have nothing to report, I am happy how things are.",I would like to report something but I don't know how,,no,
18/07/2014 16:54:55,Data journalists,Once or twice a week,,,,"Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",,,,,,,,,,,,,2,,,,,,,,,,,,,1 to 2 years,,,,,,,,,Not using this channel,I got an answer and it is working,The answer was a lead and I needed to explore based on it,Not using this channel,I got an answer and it is working,Not using this channel,I have to wait to get my answer,I found a solution before my request been answered,Not using this channel,,I don't use plugin or extension,OpenRefine 2.6,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,no,
18/07/2014 17:17:59,For Profit / Business,Less than once a month,,,,Reconciliation against other data set,,,,,,,,,,,,,2,,,,Reconciliation!,I'd have had to invent that wheel myself,,data cleanup tool,,,,,,More than 2 years,,,,,,,,,The answer was a lead and I needed to explore based on it,Not using this channel,Not using this channel,Not using this channel,The answer was a lead and I needed to explore based on it,Immediate answer,Not using this channel,Not using this channel,Not using this channel,I have to wait to get my answer,"Named-Entity Recognition - by Ruben Verborgh (Free Your Metadata), RDF extension - by DERI",OpenRefine 2.6,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,no,My actual interest is in providing ReconciliationServices for OpenRefine clients
18/07/2014 17:25:40,Cultural Heritage Data Enthusiast,Once or twice a week,,,,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Reconciliation against other data set",,,,,,,,,,,,,3,,,,Works well for data filtering and the ability to call and use HTML contents and APIs is wonderful. ,"Excel, Google Apps, and given up. ",,Magic way of exploring data and mining the web. ,,,,I think that the community works very well. ,,More than 2 years,,,,,,,,,Answer the question and went beyond expectation,Not using this channel,Not using this channel,Not using this channel,I got an answer and it is working,I have to wait to get my answer,Not using this channel,Not using this channel,Not using this channel,I found a solution before my request been answered,"History tools, cross cell tools, pivot tool and scatterplot tool using D3 - by VIB-BITS",Google Refine 2.5,I reported something and nothing happen,"I have nothing to report, I am happy how things are.",Support is very good. The one issue I have has not been resolved because I need to collect and provide more data. ,yes,OpenRefine is stuck on my PC - and I travel a lot and would like to be able to use from laptop or ipad.
18/07/2014 17:25:56,Librarians,A few times a month,,,,"Normalizing data (e.g., fixing spelling mistakes), Reconciliation against other data set",,,,,,,,,,,,,2,,,,,,,,,,,,,1 to 2 years,,,,,,,,,Not using this channel,The answer was a lead and I needed to explore based on it,Not using this channel,Not using this channel,The answer was a lead and I needed to explore based on it,Not using this channel,Not using this channel,Not using this channel,Not using this channel,Not using this channel,I don't use plugin or extension,Google Refine 2.5,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,yes,
18/07/2014 17:29:12,Librarians,Once or twice a week,,,,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Reconciliation against other data set, Taxonomy/Metadata, Understanding data I do own",,,,,,,,,,,,,3,,,,,,,,,,,,,1 to 2 years,,,,,,,,,Not using this channel,I got an answer and it is working,I got an answer and it is working,Not using this channel,The answer was a lead and I needed to explore based on it,Not using this channel,I have to wait to get my answer,I have to wait to get my answer,Not using this channel,I have to wait to get my answer,Named-Entity Recognition - by Ruben Verborgh (Free Your Metadata),OpenRefine 2.6,"I have nothing to report, I am happy how things are.",I would like to report something but I don't know how,,no,"I'm fine as it is, but it would be easier to introduce others to the tool with a hosted version."
18/07/2014 17:29:32,Semantic Web,Once or twice a week,,,,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Reconciliation against other data set, Taxonomy/Metadata",,,,,,,,,,,,,3,,,,reconciliation and schema aligment,,,data cleanup/transformation tool,,,,,,1 to 2 years,,,,,,,,,Not using this channel,Not using this channel,The answer was a lead and I needed to explore based on it,Not using this channel,The answer was a lead and I needed to explore based on it,Not using this channel,Not using this channel,I have to wait to get my answer,Not using this channel,,RDF extension - by DERI,Google Refine 2.5,I would like to report something but I don't know how,I would like to report something but I don't know how,,no,I have sensitive data that I don't want to put up in cloud
18/07/2014 17:31:23,Librarians,Less than once a month,,,,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Taxonomy/Metadata, Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",,,,,,,,,,,,,3,,,,,,,,,,,,,1 to 2 years,,,,,,,,,Not using this channel,The answer was a lead and I needed to explore based on it,Not using this channel,Not using this channel,The answer was a lead and I needed to explore based on it,Not using this channel,Not using this channel,Immediate answer,Not using this channel,I have to wait to get my answer,I don't use plugin or extension,I don't know,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,yes,Can't download/run on all computers I use.
18/07/2014 18:10:24,Librarians,Less than once a month,,,,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....)",,,,,,,,,,,,,3,,,,,,,,,,,,,More than 2 years,,,,,,,,,Not using this channel,Not using this channel,I got an answer and it is working,Not using this channel,I got an answer and it is working,Not using this channel,Not using this channel,I have to wait to get my answer,Not using this channel,I have to wait to get my answer,I don't use plugin or extension,Google Refine 2.0,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,,
