Timestamp,"Field, discipline, community you identify with 
Choose the categories which best represent you",On a scale from 1 to 10 how often do you use OpenRefine in a professional environment?,In which languages do you use OpenRefine (both its interface and the datasets you work with)?,How long have you been using OpenRefine?,How would you rate your skills using OpenRefine,How likely is it that you would recommend OpenRefine to a friend or colleague?,usage_frequency,"How frequently do you perform the following actions in OpenRefine? [Using facets for data exploration, analyzing, and making better sense of datasets]","How frequently do you perform the following actions in OpenRefine? [Normalization, cleaning, and transformation from the menu only]","How frequently do you perform the following actions in OpenRefine? [Normalization, cleaning, and transformation using GREL]",How frequently do you perform the following actions in OpenRefine? [Reconcile using reconciliation services],How frequently do you perform the following actions in OpenRefine? [Extend data using reconciliation services],How frequently do you perform the following actions in OpenRefine? [Using REST APIs (ie Fetch URLs)],How frequently do you perform the following actions in OpenRefine? [Saving operation history to create repeatable workflows],How frequently do you perform the following actions in OpenRefine? [Preparing data for visualization (outside OpenRefine)],How frequently do you perform the following actions in OpenRefine? [Preparing a file before loading it to another system (data migration)],"How frequently do you perform the following actions in OpenRefine? [Publishing data directly from OpenRefine to Wikibase, Wikidata, or WikiCommons]","How frequently do you perform the following actions in OpenRefine? [Working on taxonomies, thesauri, vocabularies]",Which features make you choose OpenRefine over other tools? Which alternative tools would you use if OpenRefine was not available to you?,Which version(s) of OpenRefine do you run? Mark all that apply.,Who installed OpenRefine on your computer?,Which Operating System are you using?,Which browsers do you use with OpenRefine?,What is the current amount of RAM you have allocated to OpenRefine? (see increasing memory allocation). Use the Other option to indicate the how much RAM you have allocated to OpenRefine,Which reconciliation services do you use?,Which OpenRefine extensions do you use?,Which OpenRefine unsupported client libraries do you use?,Anything else you would like to add?
8/5/2024 16:39:39,Other non-profit sector|For-profit sector / Business / Consulting,10,English,More than 5 years,5,10,2. Once per week,Once per week,Once per week,Once per week,Rarely,Rarely,Rarely,Once per month,Rarely,Once per month,Never,Never,"facet, preview of the transformation, undo/redo",The latest version of OpenRefine 3.8,Myself,Linux,Chrome,Default Setting,reconcile-csv (Clojure-based by Open Knowledge Labs),,Python OpenRefine client,
8/7/2024 21:48:19,Semantic Web|Wikimedia (Wikidata Wikimedia Commons…),0,English,More than 5 years,5,10,2. Once per week,Once per week,Once per week,Once per week,Once per month,Once per month,Rarely,Never,Never,Never,Rarely,Once per month,GREL and I'd resort to Trifacta Data Wrangler or DataPrep,", I run a recent (unstable) development version or the latest snapshot release (3.8+)",Myself,Windows,Edge,16000 M,Wikidata (hosted at wikidata.reconci.link),,I don’t use any OpenRefine client libraries,"Maybe ""Respectful of Diverse Backgrounds & Expertise"" and ""Community-Driven"" and ""Approachable"" could have less overlap?"
8/8/2024 8:57:40,Research and Academic|Arts cultural sector cultural heritage|Semantic Web|Wikimedia (Wikidata Wikimedia Commons…),6,"English, French, German, Japanese, Dutch",More than 5 years,4,3,3. Once per month,Once per month,Once per month,Once per month,Once per month,Rarely,Rarely,Never,Never,Rarely,Once per month,Never,I would increasingly use AI assistance in normal spreadsheet software.,,Myself,Mac,Chrome|Firefox,Default Setting,Getty Vocabularies (TGN ULAN AAT)|Wikidata (hosted at wikidata.reconci.link)|Wikimedia Commons|Various cultural sector reconciliation services not mentioned above,"Wikidata extension, Wikimedia Commons, RDF Transform by AtesComp, RDF extension - by DRI and Stuart Kenny",I don’t use any OpenRefine client libraries,
8/8/2024 12:29:24,Wikimedia (Wikidata Wikimedia Commons…)|OpenStreetMap|Wikibase,0,English,Less than 6 months,3,10,1. Once per day,Once per day,Once per day,Once per day,Once per day,Once per day,Once per day,Once per day,Never,Never,Once per day,Never,,", The latest version of OpenRefine 3.8",I mainly run OpenRefine via (cloud) hosting (e.g. Wikimedia PAWS or another cloud- or server-based host),Linux,Brave,25000 M,Wikidata (hosted at wikidata.reconci.link)|Wikimedia Commons,"Wikidata extension, Wikimedia Commons",I don’t use any OpenRefine client libraries,
8/8/2024 14:15:01,Libraries|Research and Academic|Digital humanities,8,English,More than 5 years,2,8,3. Once per month,Once per month,Once per month,Once per week,Once per month,Once per month,Rarely,Rarely,Once per month,Rarely,Rarely,Rarely,python on jupyter notebook,", The latest version of OpenRefine 3.8",Myself,Linux,Firefox,10000 M,csv-reconcile (Python-based by Douglas Mennella)|reconciliation against a SPARQL endpoint via the RDF extension|DBpedia|Library of Congress Subject Headings (LCSH)|ORCID|VIAF (via refine.codefork.com),"Wikidata extension, VIB-Bits, Named-Entity Recognition (NER) - by Ruben Verborgh and Stuart Kenny, RDF extension - by DRI and Stuart Kenny",I don’t use any OpenRefine client libraries,
8/8/2024 14:25:31,Libraries,9,"English, German",2 to 5 years,2,9,4. Rarely,Rarely,Rarely,Rarely,Never,Never,Rarely,Rarely,Rarely,Rarely,Never,Never,"Easy to install and powerful features. Other tools might be scripts or office software (libreCalc, Excel)",", The latest version of OpenRefine 3.8",I maintain a hosted version of OpenRefine,Linux,Firefox|Vivaldi|Brave,Default Setting,lobid-organisations,I did not know that there are extensions for OpenRefine,I don’t use any OpenRefine client libraries,"Qn official docker hub image would be nice."
8/8/2024 17:15:12,Arts cultural sector cultural heritage,9,Italian,1 to 2 years,1,6,4. Rarely,Rarely,Once per week,Once per month,Never,Never,Never,Never,Never,Once per week,Never,Rarely,,I don't know,Myself,Windows,Firefox,I don’t know,I don’t know,"I don’t use any OpenRefine extensions, Wikidata extension",I did not know that there are client libraries for OpenRefine,
8/9/2024 1:50:44,Arts cultural sector cultural heritage|Data science,8,"English, German",2 to 5 years,5,10,1. Once per day,Once per day,Once per day,Once per day,Once per day,Once per day,Once per week,Rarely,Rarely,Once per week,Never,Once per month,Pro OpenRefine: mixing programming with manual corrections for edge cases. Alternative: Python,,Myself,Windows,Firefox,12000 M,My organization’s / project’s own / in-house / custom reconciliation service|csv-reconcile (Python-based by Douglas Mennella)|Getty Vocabularies (TGN ULAN AAT)|lobid Integrated Authority File (GND)|Wikidata (hosted at wikidata.reconci.link),I don’t use any OpenRefine extensions,I don’t use any OpenRefine client libraries,
8/9/2024 10:16:55,Research and Academic,10,English,Less than 6 months,1,7,2. Once per week,Once per week,Once per week,Never,Once per week,Never,Once per week,Never,Once per month,Once per month,Never,Never,,The latest version of OpenRefine 3.8,Myself,Windows,Firefox,Default Setting,OpenCorporates,I did not know that there are extensions for OpenRefine,I did not know that there are client libraries for OpenRefine,
8/9/2024 11:42:41,Wikimedia (Wikidata Wikimedia Commons…)|OpenStreetMap,8,English,2 to 5 years,4,6,1. Once per day,Once per day,Once per day,Once per day,Once per day,Once per month,Rarely,Rarely,Rarely,Once per month,Once per week,Never,reconcile -> SPARQL; facet -> LibreOffice Calc; GREL -> regex,,Myself,Linux,Firefox,Default Setting,Wikidata (hosted at wikidata.reconci.link),"Wikidata extension, GeoJSON Export - by Labian Gashi",I did not know that there are client libraries for OpenRefine,"any features about geographic coordinate will be very useful"
